run_id,label,precision,recall,f1,roc_auc
run_05_lr1.75e-05_wd0.010_warm0.06,severe_toxic,0.4349442379182156,0.73125,0.5454545454545454,0.992286404924674
run_05_lr1.75e-05_wd0.010_warm0.06,obscene,0.8493975903614458,0.834319526627219,0.8417910447761194,0.9928054416100878
run_05_lr1.75e-05_wd0.010_warm0.06,threat,0.627906976744186,0.5625,0.5934065934065934,0.9909353394091766
run_05_lr1.75e-05_wd0.010_warm0.06,insult,0.7343578485181119,0.8489847715736041,0.7875220718069452,0.9896748441520634
run_05_lr1.75e-05_wd0.010_warm0.06,identity_hate,0.5822784810126582,0.6524822695035462,0.6153846153846154,0.9886783544233984
run_06_lr1.75e-05_wd0.010_warm0.10,toxic,0.854631507775524,0.8266841072596468,0.8404255319148937,0.9879979961871896
run_06_lr1.75e-05_wd0.010_warm0.10,severe_toxic,0.536144578313253,0.55625,0.5460122699386503,0.9923536602734524
run_06_lr1.75e-05_wd0.010_warm0.10,obscene,0.8415492957746479,0.8485207100591716,0.845020624631703,0.9927238080621056
run_06_lr1.75e-05_wd0.010_warm0.10,threat,0.5074626865671642,0.7083333333333334,0.591304347826087,0.9889692017598994
run_06_lr1.75e-05_wd0.010_warm0.10,insult,0.7400442477876106,0.8489847715736041,0.7907801418439716,0.9897079712496948
run_06_lr1.75e-05_wd0.010_warm0.10,identity_hate,0.5070422535211268,0.7659574468085106,0.6101694915254238,0.9892211315861332
run_07_lr1.75e-05_wd0.015_warm0.06,toxic,0.8725352112676056,0.8103335513407456,0.8402848423194303,0.9882052082362108
run_07_lr1.75e-05_wd0.015_warm0.06,severe_toxic,0.5449101796407185,0.56875,0.5565749235474006,0.992356825231042
run_07_lr1.75e-05_wd0.015_warm0.06,obscene,0.8506024096385543,0.8355029585798817,0.8429850746268657,0.9928246656254636
run_07_lr1.75e-05_wd0.015_warm0.06,threat,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.990921590194846
run_07_lr1.75e-05_wd0.015_warm0.06,insult,0.7350993377483444,0.8451776649746193,0.7863046044864227,0.9898178511556004
run_07_lr1.75e-05_wd0.015_warm0.06,identity_hate,0.5309278350515464,0.7304964539007093,0.6149253731343284,0.9885489936539238
run_08_lr1.75e-05_wd0.015_warm0.10,toxic,0.8522267206477733,0.8260300850228908,0.8389239455330455,0.9878973477446976
run_08_lr1.75e-05_wd0.015_warm0.10,severe_toxic,0.5136612021857924,0.5875,0.5481049562682215,0.9924215090517784
run_08_lr1.75e-05_wd0.015_warm0.10,obscene,0.8257918552036199,0.863905325443787,0.8444187391555813,0.9929658505530526
run_08_lr1.75e-05_wd0.015_warm0.10,threat,0.5740740740740741,0.6458333333333334,0.6078431372549019,0.9879596165933374
run_08_lr1.75e-05_wd0.015_warm0.10,insult,0.7457627118644068,0.8375634517766497,0.7890017931858936,0.9897347824486614
run_08_lr1.75e-05_wd0.015_warm0.10,identity_hate,0.5606936416184971,0.6879432624113475,0.6178343949044586,0.9890303412658163
run_09_lr2.00e-05_wd0.010_warm0.06,toxic,0.8412802090137165,0.842380640941792,0.8418300653594771,0.988015651025447
run_09_lr2.00e-05_wd0.010_warm0.06,severe_toxic,0.5166666666666667,0.58125,0.5470588235294118,0.9922583159260664
run_09_lr2.00e-05_wd0.010_warm0.06,obscene,0.8257918552036199,0.863905325443787,0.8444187391555813,0.992555411951856
run_09_lr2.00e-05_wd0.010_warm0.06,threat,0.543859649122807,0.6458333333333334,0.5904761904761905,0.9899748585795096
run_09_lr2.00e-05_wd0.010_warm0.06,insult,0.75,0.8261421319796954,0.7862318840579711,0.9896648056376296
run_09_lr2.00e-05_wd0.010_warm0.06,identity_hate,0.5574712643678161,0.6879432624113475,0.6158730158730159,0.9883135884408416
run_10_lr2.00e-05_wd0.010_warm0.10,toxic,0.8614748449345279,0.8175277959450621,0.8389261744966443,0.9879639556646445
run_10_lr2.00e-05_wd0.010_warm0.10,severe_toxic,0.5191256830601093,0.59375,0.5539358600583091,0.9924410922268644
run_10_lr2.00e-05_wd0.010_warm0.10,obscene,0.8469750889679716,0.8449704142011835,0.8459715639810427,0.992736493563087
run_10_lr2.00e-05_wd0.010_warm0.10,threat,0.5076923076923077,0.6875,0.584070796460177,0.9888402210349884
