train_size,train_fraction,max_train_samples,label,best_threshold,best_f1_on_val
110000,0.7659473724523546,110000,severe_toxic,0.21,0.5330396475770925
110000,0.7659473724523546,110000,obscene,0.46,0.8322465915826912
110000,0.7659473724523546,110000,threat,0.24,0.5853658536585366
110000,0.7659473724523546,110000,insult,0.22,0.7597173144876325
110000,0.7659473724523546,110000,identity_hate,0.2,0.6186186186186187
120000,0.835578951766205,120000,toxic,0.37,0.8398692810457516
120000,0.835578951766205,120000,severe_toxic,0.35,0.5150214592274678
120000,0.835578951766205,120000,obscene,0.58,0.8397397989355411
120000,0.835578951766205,120000,threat,0.31,0.5686274509803921
120000,0.835578951766205,120000,insult,0.45,0.7682851874615857
120000,0.835578951766205,120000,identity_hate,0.35,0.6036363636363636
130000,0.9052105310800554,130000,toxic,0.5,0.8436657681940701
130000,0.9052105310800554,130000,severe_toxic,0.35,0.5527065527065527
130000,0.9052105310800554,130000,obscene,0.2,0.8452115812917594
130000,0.9052105310800554,130000,threat,0.44,0.5494505494505495
130000,0.9052105310800554,130000,insult,0.38,0.7655050206733609
130000,0.9052105310800554,130000,identity_hate,0.36,0.5894736842105263
140000,0.9748421103939059,140000,toxic,0.51,0.8396540252827678
140000,0.9748421103939059,140000,severe_toxic,0.24,0.5458937198067633
140000,0.9748421103939059,140000,obscene,0.54,0.839390386869871
140000,0.9748421103939059,140000,threat,0.29,0.5925925925925926
140000,0.9748421103939059,140000,insult,0.47,0.7775030902348579
140000,0.9748421103939059,140000,identity_hate,0.12,0.6296296296296297
143613,1.0,143613,toxic,0.6,0.8407557354925776
143613,1.0,143613,severe_toxic,0.25,0.5430809399477807
143613,1.0,143613,obscene,0.37,0.8445229681978799
143613,1.0,143613,threat,0.43,0.5679012345679012
143613,1.0,143613,insult,0.33,0.771770062606716
143613,1.0,143613,identity_hate,0.21,0.6081871345029239
